"Model","Scenario","Region","Variable","Unit","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050"
"NiGEM NGFS v1.24.2[GCAM 6.0 NGFS]","Baseline","NiGEM NGFS v1.24.2|Africa","Gross Domestic Product (GDP)","2017 PPP ; US$ Bn",3557.816284179688,3703.762817382812,3859.37744140625,4033.675048828125,4211.738525390625,4401.691162109375,4606.740600585938,4828.183837890625,5067.448364257812,5325.145141601562,5600.903930664062,5895.95947265625,6211.84326171875,6550.223754882812,6909.684936523438,7284.894653320312,7675.579345703125,8082.056396484375,8504.630615234375,8944.584716796875,9404.35595703125,9884.87451171875,10386.912109375,10911.25756835938,11458.94116210938,12031.37963867188,12629.60620117188,13254.63012695312,13907.49169921875
"NiGEM NGFS v1.24.2[GCAM 6.0 NGFS]","Baseline","NiGEM NGFS v1.24.2|Africa","Inflation rate ; %","%",16.04669904708862,18.28200054168701,12.70950746536255,5.434828042984009,3.323960244655609,2.408418893814087,1.86100372672081,1.543149501085281,1.409231692552567,1.419364303350449,1.534693896770477,1.709701240062714,1.873300224542618,2.009931027889252,2.127113342285156,2.232496559619904,2.334615886211395,2.43845522403717,2.546596765518188,2.662127912044525,2.784365713596344,2.911859154701233,3.038699686527252,3.155990600585938,3.257837474346161,3.342633247375488,3.410500526428223,3.467708945274353,3.519477725028992
"NiGEM NGFS v1.24.2[GCAM 6.0 NGFS]","Baseline","NiGEM NGFS v1.24.2|Africa","Gross Domestic Product (GDP)","2017 PPP; US$ Bn",3557.816284179688,3703.762817382812,3859.37744140625,4033.675048828125,4211.738525390625,4401.691162109375,4606.740600585938,4828.183837890625,5067.448364257812,5325.145141601562,5600.903930664062,5895.95947265625,6211.84326171875,6550.223754882812,6909.684936523438,7284.894653320312,7675.579345703125,8082.056396484375,8504.630615234375,8944.584716796875,9404.35595703125,9884.87451171875,10386.912109375,10911.25756835938,11458.94116210938,12031.37963867188,12629.60620117188,13254.63012695312,13907.49169921875
"NiGEM NGFS v1.24.2[GCAM 6.0 NGFS]","Baseline","NiGEM NGFS v1.24.2|Argentina","Unemployment rate ; %","%",6.825000047683716,6.487117886543274,8.847172260284424,11.12792801856995,11.05604934692383,10.23571920394897,10.08285713195801,10.04414868354797,9.986163854599,9.81795358657837,9.57383108139038,9.294596195220947,9.030272483825684,8.803668737411499,8.605491399765015,8.440266132354736,8.304920434951782,8.185267448425293,8.084646701812744,8.00093388557434,7.926914691925049,7.863839030265808,7.81308376789093,7.774929404258728,7.746358871459961,7.725973010063171,7.710760593414307,7.694707870483398,7.675847291946411
"NiGEM NGFS v1.24.2[GCAM 6.0 NGFS]","Baseline","NiGEM NGFS v1.24.2|Argentina","Gross Domestic Product (GDP)","2017 PPP ; US$ Bn",1037.659240722656,1027.400054931641,1017.268997192383,1028.138565063477,1059.329254150391,1092.138427734375,1124.244964599609,1155.528137207031,1185.867401123047,1215.469604492188,1244.904266357422,1274.19140625,1303.287414550781,1332.148223876953,1361.045288085938,1390.58837890625,1420.856262207031,1451.868408203125,1483.644348144531,1516.24560546875,1549.786041259766,1584.305786132812,1619.837158203125,1656.413757324219,1694.060455322266,1732.785949707031,1772.621948242188,1813.604248046875,1855.769897460938
"NiGEM NGFS v1.24.2[GCAM 6.0 NGFS]","Baseline","NiGEM NGFS v1.24.2|Argentina","Inflation rate ; %","%",71.84415340423584,128.7032260894775,183.3348617553711,100.4711837768555,40.36629486083984,19.91772079467773,9.675831198692322,2.891148015856743,-1.458019860088825,-3.484244525432587,-4.092899322509766,-3.868331432342529,-3.280168056488037,-2.594864666461945,-1.935715228319168,-1.366684108972549,-0.9011544287204742,-0.5216311886906624,-0.2069380320608616,0.0616543954238295,0.2998975440859795,0.5180276855826378,0.7148701995611191,0.8845660835504532,1.022335737943649,1.128622859716415,1.20636174082756,1.267960667610168,1.323778599500656
"NiGEM NGFS v1.24.2[GCAM 6.0 NGFS]","Baseline","NiGEM NGFS v1.24.2|Argentina","Gross Domestic Product (GDP)","2004 prices; Peso Mn",725810.09375,718634.09375,711547.75,719150.671875,740967.5625,763916.546875,786374.09375,808255.6875,829477.0625,850182.859375,870771.5,891256.921875,911608.640625,931795.890625,952008.5,972672.953125,993844.390625,1015536.359375,1037762.6875,1060566.28125,1084026.71875,1108172.1875,1133025.28125,1158609.4375,1184942.125,1212029.40625,1239893.4375,1268559.21875,1298052.8125
"NiGEM NGFS v1.24.2[GCAM 6.0 NGFS]","Baseline","NiGEM NGFS v1.24.2|Asia","Gross Domestic Product (GDP)","2017 PPP ; US$ Bn",3858.626525878906,4075.103210449219,4298.671997070312,4522.300903320312,4693.878051757812,4872.559204101562,5066.382934570312,5276.599731445312,5504.59326171875,5747.520141601562,5997.452026367188,6253.447387695312,6515.362060546875,6783.033447265625,7055.409545898438,7330.370849609375,7607.189331054688,7885.276123046875,8164.016357421875,8443.91650390625,8726.788330078125,9012.53564453125,9300.826171875,9591.31201171875,9884.322998046877,10180.94213867188,10481.10375976562,10784.59887695312,11091.20947265625
"NiGEM NGFS v1.24.2[GCAM 6.0 NGFS]","Baseline","NiGEM NGFS v1.24.2|Asia","Inflation rate ; %","%",9.880990386009216,6.337152004241943,2.371261924505234,1.664710491895676,1.800660759210587,2.003514766693115,2.017010450363159,1.978950053453445,1.973196268081665,2.026822686195374,2.136721611022949,2.280441701412201,2.417809963226318,2.546948373317719,2.675910353660583,2.808956742286682,2.949264764785767,3.095021963119507,3.245039045810699,3.399387121200562,3.543808102607727,3.673927962779999,3.791472256183624,3.892790853977203,3.977290689945221,4.046061754226685,4.10046911239624,4.146282196044922,4.184386491775513
"NiGEM NGFS v1.24.2[GCAM 6.0 NGFS]","Baseline","NiGEM NGFS v1.24.2|Asia","Gross Domestic Product (GDP)","2017 PPP; US$ Bn",3858.626525878906,4075.103210449219,4298.671997070312,4522.300903320312,4693.878051757812,4872.559204101562,5066.382934570312,5276.599731445312,5504.59326171875,5747.520141601562,5997.452026367188,6253.447387695312,6515.362060546875,6783.033447265625,7055.409545898438,7330.370849609375,7607.189331054688,7885.276123046875,8164.016357421875,8443.91650390625,8726.788330078125,9012.53564453125,9300.826171875,9591.31201171875,9884.322998046877,10180.94213867188,10481.10375976562,10784.59887695312,11091.20947265625
